Rk,Player,Age,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Pos,-
1,Shiloh ’t Zand,21,19,1052,11.7,12,7,14,1,0,1,1,0,0,0,2.3,2.3,1.0,,1.0,3.3,-1.3,-1.3,-1.0,0.09,25,0.04,0.08,13,52.0,24.4,7,25,0.04,0.08,13,52.0,24.4,7,297,371,80.1,13,42,6,0,46,4791,1671,150,178,84.3,112,136,82.4,22,28,78.6,38,22,4,2,5,4,1,4,3,0,0,1,0,0,261,1258,555,11,11,2,22,13,318,30,318,30,261,1258,555,11,11,2,22,13,478,8,68,249,173,19,478,MF,1569ec50
2,Uriel van Aalst,,2,39,0.4,0,2,12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.00,,0,0.0,,0,1,0.00,,0,0.0,,0,7,8,87.5,1,1,0,0,1,74,36,3,3,100.0,2,2,100.0,0,0,,3,2,0,1,0,0,0,0,0,0,0,0,0,0,8,48,29,1,1,0,0,0,9,1,9,1,8,48,29,1,1,0,0,0,11,0,1,8,3,0,11,FW,ba469ddc
3,Patrick van Aanholt,33,21,1656,18.4,20,1,0,0,0,0,0,0,0,0,0.6,0.6,1.3,1.9,2.2,1.9,-0.6,-0.6,-1.3,0.03,19,0.00,0.00,1,5.3,23.3,1,19,0.00,0.00,1,5.3,23.3,1,680,823,82.6,16,59,26,7,86,11514,4093,305,353,86.4,302,342,88.3,57,92,62.0,45,39,1,1,3,0,1,3,3,0,0,0,0,0,489,2672,1411,39,39,4,29,4,545,64,545,64,489,2672,1411,39,39,4,29,4,1010,70,309,470,245,20,1010,DF,5f09991f
4,Max Aarons,24,9,341,3.8,4,5,25,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,97,129,75.2,1,10,0,0,14,1592,551,45,55,81.8,45,59,76.3,5,11,45.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,87,367,171,1,3,0,4,1,89,13,89,13,87,367,171,1,3,0,4,1,158,3,40,68,51,0,158,DF,774cf58b
5,Brenden Aaronson,23,47,3613,40.1,44,3,2,9,2,11,9,0,0,0,11.3,11.3,5.7,,6.0,17.0,-2.3,-2.3,-3.7,0.13,86,0.10,0.35,26,30.2,16.5,3,86,0.10,0.35,26,30.2,16.5,3,1028,1293,79.5,73,84,49,10,160,13715,3018,627,728,86.1,302,366,82.5,34,64,53.1,145,108,5,12,12,7,1,13,10,0,0,3,0,0,1086,5865,2620,84,67,36,103,112,1336,243,1336,243,1086,5865,2620,84,67,36,103,112,1777,9,144,739,921,171,1777,FWMF,5bc43860
6,Paxten Aaronson,20,34,2768,30.8,31,3,0,8,4,12,8,0,0,0,5.3,5.3,2.9,,4.0,8.2,+2.7,+2.7,+1.1,0.09,62,0.13,0.53,15,24.2,18.6,0,62,0.13,0.53,15,24.2,18.6,0,718,904,79.4,34,65,29,2,116,11995,3016,320,361,88.6,319,373,85.5,51,86,59.3,84,57,4,3,11,4,5,8,6,0,0,2,0,0,691,4321,1713,51,33,12,31,41,707,80,707,80,691,4321,1713,51,33,12,31,41,1285,30,258,635,418,75,1285,MF,4cd41883
7,Thelo Aasgaard,22,47,4015,44.6,44,3,0,15,2,17,14,1,1,0,3.2,3.2,1.1,,1.4,4.3,-1.2,-1.2,+0.9,0.08,104,0.11,0.28,40,38.5,21.0,3,104,0.11,0.28,40,38.5,21.0,3,328,455,72.1,13,26,17,1,46,5423,973,160,194,82.5,132,175,75.4,24,50,48.0,39,28,1,2,5,3,0,1,1,0,0,0,0,0,341,2011,689,27,16,5,43,30,392,71,392,71,341,2011,689,27,16,5,43,30,692,35,93,274,331,44,692,MF,c88a28b9
8,David Abagna,25,8,560,6.2,7,1,0,3,0,3,3,0,0,0,2.3,2.3,0.1,2.4,0.2,2.4,+0.7,+0.7,-0.1,0.14,17,0.18,0.60,5,29.4,23.5,0,17,0.18,0.60,5,29.4,23.5,0,236,274,86.1,1,26,2,0,27,4071,971,106,114,93.0,99,114,86.8,25,31,80.6,12,7,0,0,0,2,3,0,0,0,0,0,0,0,193,1383,719,16,5,0,15,6,225,11,225,11,193,1383,719,16,5,0,15,6,337,8,51,204,88,14,337,MFFW,d92b03d6
9,Rodrigo Abajas,21,1,65,0.7,1,0,8,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,-0.1,-0.1,0.0,0.07,1,0.00,,0,0.0,24.5,0,1,0.00,,0,0.0,24.5,0,17,29,58.6,0,0,0,0,2,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,101,67,3,2,1,0,2,16,3,16,3,13,101,67,3,2,1,0,2,36,1,8,19,9,1,36,DF,69c99fce
10,James Abankwah,20,27,1601,17.8,18,9,13,0,0,0,0,0,0,0,0.1,0.1,0.3,,0.4,0.4,-0.1,-0.1,-0.3,0.03,6,0.00,0.00,1,16.7,14.7,0,6,0.00,0.00,1,16.7,14.7,0,816,971,84.0,6,51,3,0,59,14025,5101,355,384,92.4,369,415,88.9,68,132,51.5,17,15,0,1,1,0,0,1,1,0,0,0,0,0,695,4267,2449,24,13,2,12,12,766,10,766,10,695,4267,2449,24,13,2,12,12,1188,125,624,519,59,10,1188,DF,4b7a9fcc
11,Rodrigo Abascal,30,29,2599,28.9,29,0,0,0,0,0,0,0,0,0,0.8,0.8,1.7,2.5,1.5,2.5,-0.8,-0.8,-1.7,0.04,19,0.00,0.00,5,26.3,24.0,2,19,0.00,0.00,5,26.3,24.0,2,904,1286,70.3,17,84,15,6,66,21266,11349,216,246,87.8,476,578,82.4,207,440,47.0,48,29,16,1,2,0,0,1,1,0,0,0,0,0,744,3182,1552,10,6,0,13,4,813,24,813,24,744,3182,1552,10,6,0,13,4,1607,222,849,589,179,23,1607,DF,088ae0d1
