,player,career_start,career_end,games,games_started,completions,passing_attempts,incompletions,completion_%,passing_yards,passing_tds,interceptions,pick_6s,touchdown_%,int_%,passer_rating,sacks_taken,sack_yards,sack_%,passing_yards_per_attempt,adjusted_passing_yards_per_attempt,adjusted_net_passing_yards_per_attempt,passing_yards_per_completion,passing_yards_per_game,pass_success_rate,wins,losses,ties,fourth_quarter_comebacks,game_winning_drives,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,rushing_yards_per_game,rushing_first_downs,rush_success_rate,pro_bowls,first_team_all_pros,super_bowls,hall_of_fame,hall_of_fame_eligible,16_games,winning_%,passing_yards_per_16_games,passing_attempts_per_16_games,passing_tds_per_16_games,int_per_16_games,pick_6_per_16_games,sacks_per_16_games,sacks_yards_per_16_games,wins_per_16_games,losses_per_16_games,ties_per_16_games,fourth_quarter_comebacks_per_16_games,game_winning_drives_per_16_games,rushing_yards_per_16_games,rushing_tds_per_16_games,rushing_first_downs_per_16_games,pro_bowls_per_16_games,first_team_all_pros_per_16_games,super_bowls_per_16_games
1,Peyton Manning,1998,2015,0.7643979057591623,0.7664041994750657,0.7566178934435385,0.7449001503113593,0.7239936229573536,0.6509999999999999,0.7725988149996103,0.7856173677069199,0.7540983606557377,0.861111111111111,0.11199999999999999,0.027000000000000003,0.603916614024005,0.5309597523219814,0.41980604252144726,0.0319,0.2263157894736842,0.6407317073170732,0.6352439024390244,0.1548780487804878,0.9432525951557095,0.512,0.6993006993006993,0.7301587301587301,0.0,0.8181818181818181,0.7777777777777777,0.3920406435224386,0.13450375194676484,0.28378378378378377,0.27272727272727276,0.24648786717752236,0.19264069264069264,0.23800000000000002,0.9333333333333333,1.0,0.2857142857142857,1.0,1.0,0.7642378559463986,0.68,0.9431574260015433,0.8974468286675192,0.9029126213592232,0.1507,0.9431574260015433,0.14047851196279906,0.1366,0.6550689862027593,0.30113977204559084,0.0,0.1475704859028194,0.18356328734253147,0.2460105001558242,0.0689862027594481,0.14047851196279906,0.5241379310344828,0.3584905660377358,0.00659868026394721
3,Brett Favre,1991,2010,0.8507853403141362,0.8451443569553806,0.757399754272311,0.784482141578985,0.832801913112794,0.619,0.7571431355733999,0.7489823609226594,1.0,1.0,0.1,0.033,0.5439039797852179,0.868421052631579,0.6939574785527789,0.0487,0.21315789473684207,0.6291463414634146,0.6213414634146341,0.15243902439024393,0.8314878892733565,0.469,0.6958041958041958,0.9761904761904762,0.0,0.5454545454545454,0.625,0.5537679932260796,0.3065269715418377,0.32162162162162167,0.19480519480519481,0.29118773946360155,0.31601731601731603,0.32299999999999995,0.7333333333333333,0.42857142857142855,0.14285714285714285,1.0,1.0,0.8509212730318257,0.62,0.8312707652866014,0.8491307848988677,0.7735579668760707,0.1796,0.8312707652866014,0.2064801620040501,0.20286666666666667,0.5854829034193161,0.36232753449310134,0.0,0.08818236352729453,0.1325734853029394,0.2905362750817078,0.044391121775644866,0.2064801620040501,0.3724137931034483,0.14150943396226412,0.0029994001199760045
5,Johnny Unitas,1956,1973,0.5732984293193718,0.5065616797900262,0.3294984921255445,0.3873738458234915,0.49063371861299326,0.545,0.4083573711701879,0.4029850746268656,0.7185792349726776,0.5,0.11,0.049,0.49147188881869863,0.4907120743034056,0.6003356956359568,0.07,0.22894736842105262,0.6298780487804878,0.6146341463414635,0.18536585365853658,0.6660899653979239,0.0,0.43356643356643354,0.5158730158730158,0.4444444444444444,0.6545454545454545,0.5555555555555556,0.3988145639288738,0.2998725753928925,0.35135135135135137,0.18181818181818182,0.32439335887611753,0.0,0.0,0.6666666666666666,0.7142857142857142,0.14285714285714285,1.0,1.0,0.5732830820770519,0.64,0.6659482805207831,0.6214769551418692,0.6167904054825813,0.1913,0.6659482805207831,0.17287932198304956,0.26012222222222225,0.5410917816436712,0.28374325134973005,0.08978328173374613,0.15716856628674264,0.17456508698260348,0.3240344890962994,0.061187762447510494,0.17287932198304956,0.503448275862069,0.3396226415094339,0.004199160167966407
7,John Elway,1983,1998,0.6675392670157069,0.6614173228346456,0.5001675416061655,0.5655285949466752,0.6821442805898765,0.5670000000000001,0.5500214391517892,0.44369063772048845,0.674863387978142,0.5277777777777778,0.08199999999999999,0.031000000000000003,0.5041061276058116,0.8591331269349846,0.7651995524058187,0.06559999999999999,0.21315789473684207,0.628780487804878,0.6176829268292683,0.16585365853658537,0.7698961937716263,0.446,0.5664335664335665,0.7063492063492063,0.1111111111111111,0.6363636363636364,0.6388888888888888,0.7349703640982218,0.582896786068243,0.3648648648648649,0.5064935064935066,0.40868454661558107,0.19047619047619047,0.47100000000000003,0.6,0.0,0.2857142857142857,1.0,1.0,0.6675041876046901,0.64,0.7697114854597059,0.7797041037058089,0.5836664762992575,0.1544,0.7697114854597059,0.2601815045376134,0.2849333333333333,0.6070785842831432,0.3335332933413317,0.018575851393188854,0.131373725254949,0.17276544691061785,0.4085951047218737,0.14637072585482902,0.2601815045376134,0.3862068965517242,0.0,0.00719856028794241
8,Dan Marino,1983,1999,0.6780104712041886,0.6771653543307087,0.597788450798615,0.6474124973158686,0.7359505779194899,0.5920000000000001,0.6419369299134638,0.6132971506105834,0.7540983606557377,0.8055555555555555,0.1,0.031000000000000003,0.5413771320277952,0.4520123839009288,0.386236478925774,0.0313,0.21842105263157893,0.6330487804878049,0.6276829268292683,0.16219512195121955,0.8837370242214533,0.454,0.541958041958042,0.8174603174603174,0.0,0.6545454545454545,0.7083333333333333,0.26756985605419137,0.047713436216905,0.25135135135135134,0.12987012987012989,0.21966794380587484,0.012987012987012988,0.063,0.6,0.42857142857142855,0.0,1.0,1.0,0.6779731993299832,0.6,0.8834485128974451,0.8788783098858414,0.7944031981724727,0.1698,0.8834485128974451,0.13477836945923646,0.1416111111111111,0.5722855428914216,0.3803239352129574,0.0,0.1331733653269346,0.18836232753449308,0.21974412862291334,0.037192561487702454,0.13477836945923646,0.37931034482758624,0.16981132075471694,0.0
9,Warren Moon,1984,2000,0.5680628272251309,0.5590551181102362,0.47436613425667373,0.5172142294753418,0.5936628138700678,0.588,0.5086633663366337,0.417910447761194,0.674863387978142,0.4444444444444444,0.086,0.034,0.5123183828174351,0.7461300309597524,0.6700857888847446,0.0625,0.21578947368421053,0.6285365853658537,0.6178048780487806,0.16219512195121955,0.8352941176470589,0.44700000000000006,0.36713286713286714,0.8571428571428571,0.0,0.4727272727272727,0.5138888888888888,0.4894157493649449,0.2971825003539572,0.32972972972972975,0.28571428571428575,0.32439335887611753,0.049783549783549784,0.321,0.6,0.0,0.0,1.0,1.0,0.5678391959798995,0.49,0.835596213665477,0.8376991457849776,0.645631067961165,0.1814,0.835596213665477,0.26543163579089474,0.2931111111111111,0.4625074985002999,0.4757048590281943,0.0,0.11457708458308337,0.16316736652669467,0.32395457923462334,0.09718056388722256,0.26543163579089474,0.4551724137931035,0.0,0.0
10,Fran Tarkenton,1961,1978,0.6701570680628273,0.6561679790026247,0.42834803976320784,0.4837878462529525,0.5827022718214429,0.5670000000000001,0.47563732751227883,0.4789687924016282,0.773224043715847,0.3611111111111111,0.10400000000000001,0.042,0.5015792798483891,0.9133126934984521,1.0,0.0803,0.21578947368421053,0.6265853658536585,0.6114634146341464,0.16707317073170733,0.6640138408304499,0.0,0.45454545454545453,0.9047619047619047,0.6666666666666666,0.5454545454545454,0.4722222222222222,0.5927180355630821,0.5653405068667705,0.38648648648648654,0.4285714285714286,0.40229885057471265,0.0,0.0,0.6,0.14285714285714285,0.0,1.0,1.0,0.6700167504187604,0.52,0.6641238535183988,0.6645192869436154,0.6276413478012564,0.17620000000000002,0.6641238535183988,0.275556888922223,0.37096666666666667,0.4853029394121175,0.4259148170365926,0.11455108359133127,0.11217756448710257,0.1271745650869826,0.4017068746454,0.12297540491901618,0.275556888922223,0.3862068965517242,0.056603773584905655,0.0
11,Norm Van Brocklin,1950,1960,0.35863874345549746,0.2755905511811024,0.17446665922037305,0.20886121251163123,0.2702271821442806,0.535,0.2308899197006315,0.2320217096336499,0.5027322404371585,0.25,0.11800000000000001,0.063,0.46620341124447245,0.017027863777089786,0.16449086161879897,0.0349,0.23947368421052628,0.6274390243902439,0.6363414634146342,0.1975609756097561,0.601038062283737,0.0,0.2202797202797203,0.30158730158730157,0.4444444444444444,0.32727272727272727,0.25,0.0855207451312447,0.0419085374486762,0.2567567567567568,0.14285714285714288,0.21966794380587484,0.0,0.0,0.6,0.14285714285714285,0.0,1.0,1.0,0.3584589614740368,0.6,0.6013064972514705,0.5345080763582966,0.566533409480297,0.21350000000000002,0.6013064972514705,0.00960024000600015,0.11368888888888888,0.4385122975404918,0.2645470905818836,0.14241486068111456,0.12537492501499697,0.12537492501499697,0.21976810158141616,0.07678464307138572,0.00960024000600015,0.7172413793103449,0.11320754716981131,0.0
12,Bob Griese,1967,1980,0.4502617801047121,0.4251968503937008,0.2276331955769016,0.2603249588433183,0.31865284974093266,0.56,0.2588387775785453,0.27408412483039346,0.5027322404371585,0.3611111111111111,0.11199999999999999,0.051,0.48389134554643076,0.541795665634675,0.5747855277881387,0.08779999999999999,0.21842105263157893,0.6236585365853659,0.6075609756097562,0.17073170731707318,0.5380622837370242,0.0,0.34265734265734266,0.4841269841269841,0.3333333333333333,0.2909090909090909,0.2777777777777778,0.23200677392040642,0.18788050403511258,0.34864864864864864,0.09090909090909091,0.2950191570881226,0.0,0.0,0.5333333333333333,0.2857142857142857,0.2857142857142857,1.0,1.0,0.45016750418760465,0.6,0.5382967547248119,0.5312396381033584,0.5336950314106225,0.1702,0.5382967547248119,0.24285607140178503,0.3167888888888889,0.5440911817636472,0.3383323335332933,0.086687306501548,0.08878224355128973,0.11097780443911218,0.2950991281834091,0.03899220155968806,0.24285607140178503,0.5103448275862069,0.1792452830188679,0.011397720455908818
13,Joe Montana,1979,1994,0.5602094240837697,0.49081364829396323,0.4321456495029599,0.4384081311287667,0.44958150657632523,0.632,0.4514403211974741,0.4314789687924016,0.4371584699453552,0.25,0.10400000000000001,0.026000000000000002,0.5855969677826911,0.5541795665634676,0.44125326370757184,0.0552,0.2263157894736842,0.639390243902439,0.6298780487804878,0.1585365853658537,0.7525951557093425,0.46799999999999997,0.46503496503496505,0.42857142857142855,0.0,0.5636363636363636,0.4583333333333333,0.44030482641828955,0.3170041059040068,0.34594594594594597,0.28571428571428575,0.33461047254150705,0.004329004329004329,0.15,0.5333333333333333,0.42857142857142855,0.5714285714285714,1.0,1.0,0.5603015075376884,0.71,0.7522475686916221,0.7195774714603761,0.6756139348943461,0.11900000000000001,0.7522475686916221,0.19980499512487812,0.1956,0.5938812237552489,0.24115176964607074,0.0,0.13857228554289142,0.1475704859028194,0.33373554630376934,0.09838032393521294,0.19980499512487812,0.41379310344827586,0.20754716981132074,0.017996400719856025
