,player,career_start,career_end,games,games_started,completions,passing_attempts,incompletions,completion_%,passing_yards,passing_tds,interceptions,pick_6s,touchdown_%,int_%,passer_rating,sacks_taken,sack_yards,sack_%,passing_yards_per_attempt,adjusted_passing_yards_per_attempt,adjusted_net_passing_yards_per_attempt,passing_yards_per_completion,passing_yards_per_game,pass_success_rate,wins,losses,ties,fourth_quarter_comebacks,game_winning_drives,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,rushing_yards_per_game,rushing_first_downs,rush_success_rate,pro_bowls,first_team_all_pros,super_bowls,hall_of_fame,hall_of_fame_eligible,16_games,winning_%,passing_yards_per_16_games,passing_attempts_per_16_games,passing_tds_per_16_games,int_per_16_games,pick_6_per_16_games,sacks_per_16_games,sacks_yards_per_16_games,wins_per_16_games,losses_per_16_games,ties_per_16_games,fourth_quarter_comebacks_per_16_games,game_winning_drives_per_16_games,rushing_yards_per_16_games,rushing_tds_per_16_games,rushing_first_downs_per_16_games,pro_bowls_per_16_games,first_team_all_pros_per_16_games,super_bowls_per_16_games
0,Tom Brady,2000,2022,1.0,1.0,1.0,1.0,1.0,0.6409999999999999,1.0,0.9999999999999999,0.6885245901639344,0.5555555555555556,0.106,0.018000000000000002,0.607706885660139,1.0,0.762402088772846,0.0442,0.21842105263157893,0.6413414634146342,0.6337804878048781,0.15243902439024393,0.9339100346020761,0.49600000000000005,1.0,0.753968253968254,0.0,1.0,1.0,0.6833192209991532,0.21308225966303268,0.2864864864864865,0.4545454545454546,0.25798212005108556,0.5909090909090909,0.375,1.0,0.42857142857142855,1.0,0.0,0.0,1.0,0.75,0.9337499540650784,0.9214469549839736,0.8792118789263277,0.10529999999999999,0.9337499540650784,0.2023550588764719,0.1897333333333333,0.716856628674265,0.23815236952609475,0.0,0.1379724055188962,0.18056388722255545,0.2573337275553176,0.08758248350329932,0.2023550588764719,0.4344827586206897,0.12264150943396225,0.017396520695860826
2,Drew Brees,2001,2020,0.7958115183246074,0.7979002624671916,0.8514464425332291,0.8068141149524014,0.7271821442805899,0.6759999999999999,0.8354057846729556,0.8249660786974219,0.7049180327868853,0.75,0.10800000000000001,0.023,0.6228679722046746,0.695046439628483,0.5962327489742634,0.0383,0.2263157894736842,0.6420731707317073,0.6352439024390244,0.14878048780487804,0.9795847750865053,0.512,0.6328671328671329,0.9761904761904762,0.0,0.6909090909090909,0.7777777777777777,0.4555461473327688,0.14880362452215773,0.28378378378378377,0.3246753246753247,0.24904214559386972,0.3051948051948052,0.327,0.8666666666666667,0.14285714285714285,0.14285714285714285,0.0,0.0,0.795644891122278,0.6,0.9794233167823506,0.9337943883915177,0.9109080525414047,0.1354,0.9794233167823506,0.17670441761044023,0.18636666666666665,0.5698860227954409,0.3869226154769046,0.0,0.11937612477504497,0.17636472705458905,0.24903908391334573,0.07858428314337132,0.17670441761044023,0.46896551724137936,0.04716981132075471,0.0029994001199760045
4,Aaron Rodgers,2005,2024,0.7041884816753927,0.6876640419947506,0.6556461521277784,0.6455514995347506,0.6275408529294539,0.6509999999999999,0.670928510173852,0.7435549525101763,0.3524590163934426,0.16666666666666666,0.122,0.013999999999999999,0.6468730259001895,0.9674922600619196,0.7955986572174563,0.06480000000000001,0.2263157894736842,0.6489024390243903,0.6369512195121951,0.1548780487804878,0.889273356401384,0.48200000000000004,0.5734265734265734,0.7698412698412698,0.1111111111111111,0.43636363636363634,0.5,0.6748518204911093,0.5814809571003823,0.372972972972973,0.5064935064935066,0.3984674329501916,0.6363636363636364,0.48100000000000004,0.6666666666666666,0.5714285714285714,0.14285714285714285,0.0,0.0,0.7043551088777219,0.63,0.8888418130999911,0.8436360191369426,0.926898914905768,0.0764,0.8888418130999911,0.2777319432985825,0.2808111111111111,0.5830833833233353,0.3449310137972405,0.018575851393188854,0.08518296340731853,0.1277744451109778,0.39804700298063783,0.13857228554289142,0.2777319432985825,0.4068965517241379,0.22641509433962262,0.003599280143971205
6,Russell Wilson,2012,2024,0.5628272251308901,0.5669291338582677,0.46654752596894894,0.46388948536253666,0.4591470705460343,0.644,0.4891342480704764,0.5115332428765265,0.3360655737704918,0.3055555555555555,0.11599999999999999,0.019,0.6285533796588755,0.9489164086687307,0.7409548675867215,0.0864,0.22894736842105262,0.6469512195121951,0.6317073170731707,0.1585365853658537,0.8110726643598616,0.455,0.45454545454545453,0.6746031746031745,0.1111111111111111,0.6545454545454545,0.611111111111111,0.9398814563928873,0.8840436075322101,0.3891891891891892,0.4415584415584416,0.5708812260536399,0.8225108225108225,0.505,0.6666666666666666,0.0,0.14285714285714285,0.0,0.0,0.5628140703517588,0.6,0.8108713368251078,0.7580092526802772,0.7975442604226155,0.0911,0.8108713368251078,0.3405835145878646,0.327,0.5776844631073785,0.37792441511697655,0.021671826625387,0.16016796640671863,0.19556088782243547,0.5702687368648165,0.15116976604679064,0.3405835145878646,0.5103448275862069,0.0,0.004199160167966407
14,Philip Rivers,2004,2020,0.6675392670157069,0.6614173228346456,0.6159946386686027,0.610908310070861,0.6018333997608609,0.6459999999999999,0.6471407967568411,0.592944369063772,0.5983606557377049,0.6944444444444444,0.102,0.026000000000000002,0.5982312065698041,0.7538699690402477,0.5589332338679598,0.054000000000000006,0.23157894736842102,0.6420731707317073,0.6329268292682927,0.1585365853658537,0.9044982698961938,0.488,0.486013986013986,0.8968253968253967,0.0,0.5454545454545454,0.5,0.3420829805249788,0.12685827552031714,0.2864864864864865,0.05194805194805195,0.24776500638569604,0.16883116883116883,0.272,0.5333333333333333,0.0,0.0,0.0,0.0,0.6675041876046901,0.55,0.9043537659069932,0.8422781172532487,0.7798400913763562,0.1369,0.9043537659069932,0.22830570764269106,0.20812222222222224,0.5212957408518295,0.4235152969406118,0.0,0.11277744451109777,0.1349730053989202,0.24772856218185885,0.014997000599880022,0.22830570764269106,0.3448275862068966,0.0,0.0
23,Patrick Mahomes,2017,2024,0.3455497382198953,0.34908136482939633,0.36736289511895454,0.3525875026841314,0.326225587883619,0.668,0.3719497934045373,0.3948439620081411,0.22950819672131148,0.1388888888888889,0.11800000000000001,0.017,0.6481364497789007,0.3560371517027864,0.28086534875046626,0.0446,0.22894736842105262,0.6482926829268293,0.6403658536585366,0.15365853658536585,1.0,0.522,0.3706293706293706,0.21428571428571427,0.0,0.45454545454545453,0.41666666666666663,0.46062658763759523,0.43862381424323943,0.3837837837837838,0.27272727272727276,0.4891443167305236,0.42424242424242425,0.513,0.4,0.2857142857142857,0.42857142857142855,0.0,0.0,0.34547738693467334,0.8,0.9999999999999999,0.9359733472281432,1.0,0.1011,0.9999999999999999,0.20760519012975323,0.20136666666666667,0.7654469106178763,0.19496100779844028,0.0,0.18056388722255545,0.21655668866226752,0.4893759838901719,0.1517696460707858,0.20760519012975323,0.496551724137931,0.22641509433962262,0.02159568086382723
25,Ben Roethlisberger,2004,2021,0.7094240837696336,0.7086614173228346,0.6632413716072825,0.660725789134636,0.6562375448385811,0.643,0.6827590239338895,0.6160108548168249,0.6530054644808743,0.611111111111111,0.098,0.026000000000000002,0.5868603916614024,0.9396284829721363,0.7538232002983961,0.0617,0.2263157894736842,0.6391463414634146,0.6285365853658537,0.15609756097560978,0.8982698961937717,0.48100000000000004,0.6223776223776224,0.7222222222222222,0.1111111111111111,0.7999999999999999,0.7916666666666666,0.5004233700254022,0.2643352682995894,0.3162162162162162,0.29870129870129875,0.29118773946360155,0.35714285714285715,0.349,0.4,0.0,0.2857142857142857,0.0,0.0,0.7093802345058626,0.66,0.898056898776726,0.8573729335417554,0.7627070245573957,0.1406,0.898056898776726,0.2678316957923948,0.2641777777777778,0.6280743851229754,0.32093581283743244,0.018575851393188854,0.15536892621475704,0.2009598080383923,0.29147122046331736,0.08098380323935213,0.2678316957923948,0.2413793103448276,0.0,0.00719856028794241
32,Josh Allen,2018,2024,0.32198952879581155,0.3228346456692913,0.2901820618786999,0.2926061126619426,0.29693104822638505,0.636,0.29035433070866146,0.29850746268656714,0.24043715846994534,0.05555555555555555,0.10800000000000001,0.022000000000000002,0.5963360707517372,0.33591331269349844,0.25400969787392763,0.0504,0.21842105263157893,0.6390243902439025,0.630609756097561,0.15243902439024393,0.83840830449827,0.489,0.2902097902097902,0.31746031746031744,0.0,0.23636363636363636,0.29166666666666663,0.737510584250635,0.7162678748407193,0.3918918918918919,0.9350649350649352,0.7113665389527458,0.8441558441558441,0.608,0.26666666666666666,0.0,0.0,0.0,0.0,0.3220268006700167,0.67,0.838196670636885,0.8328675414081126,0.8106796116504854,0.1135,0.838196670636885,0.21000525013125326,0.19526666666666667,0.6424715056988602,0.3095380923815237,0.0,0.10077984403119375,0.16256748650269945,0.7113735706123492,0.5572885422915416,0.21000525013125326,0.35862068965517246,0.0,0.0
36,Derek Carr,2014,2024,0.44240837696335084,0.4461942257217848,0.42376856919468336,0.4179371555364684,0.40753288162614587,0.65,0.4049758322288922,0.350067842605156,0.3087431693989071,0.4722222222222222,0.08800000000000001,0.019,0.5843335439039797,0.4736842105263158,0.3577023498694517,0.049800000000000004,0.21315789473684207,0.6357317073170732,0.6275609756097561,0.14634146341463417,0.8525951557093426,0.462,0.2692307692307692,0.738095238095238,0.0,0.509090909090909,0.4861111111111111,0.2777307366638442,0.17343904856293357,0.32432432432432434,0.09090909090909091,0.2886334610472542,0.18614718614718614,0.381,0.26666666666666666,0.0,0.0,0.0,0.0,0.4422110552763818,0.45,0.8530341907131478,0.8681256217137983,0.6936036550542546,0.10640000000000001,0.8530341907131478,0.21608040201005022,0.20066666666666666,0.43491301739652066,0.525494901019796,0.0,0.15836832633473305,0.1979604079184163,0.2888501770003436,0.03959208158368326,0.21608040201005022,0.2620689655172414,0.0,0.0
37,Kirk Cousins,2012,2024,0.43979057591623044,0.42782152230971127,0.4323690383111806,0.41407200629876173,0.3814268632921483,0.669,0.42905589771575586,0.3975576662143826,0.3469945355191257,0.41666666666666663,0.102,0.022000000000000002,0.6146557169930511,0.5356037151702787,0.47053338306602016,0.0564,0.2263157894736842,0.6419512195121951,0.6315853658536585,0.15121951219512197,0.9083044982698962,0.48,0.2937062937062937,0.611111111111111,0.2222222222222222,0.45454545454545453,0.4444444444444444,0.2819644369178662,0.1711737222143565,0.32162162162162167,0.27272727272727276,0.2886334610472542,0.24242424242424243,0.429,0.26666666666666666,0.0,0.0,0.0,0.0,0.4396984924623115,0.52,0.908421978725106,0.8649834999131574,0.7924043403769274,0.12029999999999999,0.908421978725106,0.24578114452861322,0.26546666666666663,0.4769046190761847,0.43731253749250143,0.05882352941176471,0.14217156568686262,0.18176364727054586,0.2880590693697509,0.11937612477504497,0.24578114452861322,0.2620689655172414,0.0,0.0
