Rk,Player,AP1,player_id
1,Otto Graham,7,GrahOt00
2,Peyton Manning,7,MannPe00
3,Sid Luckman,5,LuckSi00
4,Johnny Unitas,5,UnitJo00
5,Aaron Rodgers,4,RodgAa00
6,Tom Brady,3,BradTo00
7,Brett Favre,3,FavrBr00
8,Lamar Jackson,3,JackLa00
9,Dan Marino,3,MariDa00
10,Joe Montana,3,MontJo01
11,Y.A. Tittle,3,TittY.00
12,Bob Waterfield,3,WateBo01
13,Steve Young,3,YounSt00
14,Len Dawson,2,DawsLe00
15,Dan Fouts,2,FoutDa00
16,Rich Gannon,2,GannRi00
17,Bob Griese,2,GrieBo00
18,Jack Kemp,2,KempJa00
19,Daryle Lamonica,2,LamoDa00
20,Bobby Layne,2,LaynBo00
21,Patrick Mahomes,2,MahoPa00
22,Earl Morrall,2,MorrEa00
23,Joey Sternaman,2,SterJo21
24,Kurt Warner,2,WarnKu00
25,Ken Anderson,1,AndeKe00
26,George Blanda,1,BlanGe00
27,Terry Bradshaw,1,BradTe00
28,Drew Brees,1,BreeDr00
29,John Brodie,1,BrodJo00
30,Randall Cunningham,1,CunnRa00
31,Paddy Driscoll,1,DrisPa20
32,Boomer Esiason,1,EsiaBo00
33,Roman Gabriel,1,GabrRo00
34,John Hadl,1,HadlJo00
35,Bert Jones,1,JoneBe00
36,Sonny Jurgensen,1,JurgSo00
37,Jim Kelly,1,KellJi00
38,Dave Lewis,1,LewiDa22
39,Johnny Lujack,1,LujaJo00
40,Joe Namath,1,NamaJo00
41,Cam Newton,1,NewtCa00
42,Babe Parilli,1,PariBa00
43,Tobin Rote,1,RoteTo00
44,Matt Ryan,1,RyanMa00
45,Brian Sipe,1,SipeBr00
46,Ken Stabler,1,StabKe00
47,Bart Starr,1,StarBa00
48,Fran Tarkenton,1,TarkFr00
49,Joe Theismann,1,TheiJo00
50,Norm Van Brocklin,1,VanBNo00
51,Tony Adams,0,AdamTo00
52,Sam Adkins,0,AdkiSa00
53,Troy Aikman,0,AikmTr00
54,Frankie Albert,0,AlbeFr00
55,Don Allard,0,AllaDo20
56,Brandon Allen,0,AlleBr00
57,Josh Allen,0,AlleJo02
58,Kyle Allen,0,AlleKy00
59,Billy Guy Anderson,0,AndeBi21
60,Derek Anderson,0,AndeDe00
61,David Archer,0,ArchDa00
62,Rick Arrington,0,ArriRi00
63,Kent Austin,0,AustKe20
64,Bob Avellini,0,AvelBo00
65,Richard Badar,0,BadaRi20
66,Tyson Bagent,0,BageTy00
67,Ed Baker,0,BakeEd00
68,Terry Baker,0,BakeTe00
69,Tony Banks,0,BankTo00
70,Matt Barkley,0,BarkMa00
71,Joe Barnes,0,BarnJo01
72,Len Barnum,0,BarnLe21
73,Pat Barnes,0,BarnPa20
74,Dave Barr,0,BarrDa20
75,Greg Barton,0,BartGr20
76,Richard Bartel,0,BartRi00
77,Steve Bartkowski,0,BartSt00
78,Brett Basanez,0,BasaBr00
79,Charlie Batch,0,BatcCh00
80,Sammy Baugh,0,BaugSa00
81,C.J. Beathard,0,BeatC.00
82,Pete Beathard,0,BeatPe00
83,Gary Beban,0,BebaGa00
84,John Beck,0,BeckJo00
85,Kerwin Bell,0,BellKe00
86,Guy Benjamin,0,BenjGu00
87,Kurt Benkert,0,BenkKu01
88,Ben Bennett,0,BennBe20
89,Fred Benners,0,BennFr00
90,Brock Berlin,0,BerlBr00
91,Bob Berry,0,BerrBo00
92,Angelo Bertelli,0,BertAn20
93,Steve Beuerlein,0,BeueSt00
94,Michael Bishop,0,BishMi00
95,Todd Blackledge,0,BlacTo00
96,Jeff Blake,0,BlakJe00
97,Drew Bledsoe,0,BledDr00
98,Bob Bleier,0,BleiBo20
99,David Blough,0,BlouDa00
100,Ed Blount,0,BlouEd20
101,Jeb Blount,0,BlouJe00
102,Matt Blundin,0,BlunMa00
103,Brooks Bollinger,0,BollBr00
104,Kyle Boller,0,BollKy00
105,Steve Bono,0,BonoSt00
106,Ian Book,0,BookIa00
107,Blake Bortles,0,BortBl00
108,John Borton,0,BortJo20
109,Mike Boryla,0,BoryMi00
110,Todd Bouman,0,BoumTo00
111,Trevone Boykin,0,BoykTr00
112,Tim Boyle,0,BoylTi00
113,Charlie Brackins,0,BracCh20
114,Craig Bradshaw,0,BradCr20
115,Sam Bradford,0,BradSa00
116,Steve Bradley,0,BradSt20
117,Tom Brandstater,0,BranTo00
118,Zeke Bratkowski,0,BratZe00
119,Tyler Bray,0,BrayTy00
120,Don Breaux,0,BreaDo00
121,Adrian Breen,0,BreeAd20
122,Teddy Bridgewater,0,BridTe00
123,Walter Briggs,0,BrigWa20
124,Bubby Brister,0,BrisBu00
125,Jacoby Brissett,0,BrisJa00
126,Marlin Briscoe,0,BrisMa00
127,Jon Brittenum,0,BritJo00
128,Dieter Brock,0,BrocDi00
129,Bob Brodhead,0,BrodBo00
130,Brian Brohm,0,BrohBr00
131,Jeff Brohm,0,BrohJe00
132,Aaron Brooks,0,BrooAa00
133,Anthony Brown,0,BrowAn06
134,Carlos Brown,0,BrowCa00
135,Dave Brown,0,BrowDa00
136,Ed Brown,0,BrowEd01
137,Jake Browning,0,BrowJa08
