Rk,Player,From,To,Age,G,GS,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Y/G,Succ%,W,L,T,4QC,GWD,Att,Yds,Y/A,TD,Y/G,1D,Succ%,player_id
1,Tom Brady,2000,2022,23-45,383,381,8953,13971,5018,64.1,102614,737,252,20,5.3,1.8,96.2,646,4088,4.42,7.3,7.59,6.97,11.5,267.9,49.6,286,95,0,55,72,807,1256,1.6,35,3.3,273,37.5,BradTo00
2,Peyton Manning,1998,2015,22-39,293,292,6774,10407,3633,65.1,79279,579,276,31,5.6,2.7,95.6,343,2251,3.19,7.6,7.54,7.09,11.7,270.6,51.2,200,92,0,45,56,463,701,1.5,21,2.4,89,23.8,MannPe00
3,Drew Brees,2001,2020,22-41,305,304,7623,11272,3649,67.6,85724,608,258,27,5.4,2.3,98.6,449,3197,3.83,7.6,7.65,7.09,11.2,281.1,51.2,181,123,0,38,56,538,802,1.5,25,2.6,141,32.7,BreeDr00
4,Brett Favre,1991,2010,22-41,326,322,6781,10960,4179,61.9,77693,552,366,36,5.0,3.3,86.1,561,3721,4.87,7.1,6.59,5.95,11.5,238.3,46.9,199,123,0,30,45,654,1916,2.9,15,5.9,146,32.3,FavrBr00
5,Aaron Rodgers,2005,2024,22-41,270,262,5870,9019,3149,65.1,68846,548,129,6,6.1,1.4,102.4,625,4266,6.48,7.6,8.21,7.23,11.7,255.0,48.2,164,97,1,24,36,797,3858,4.8,39,14.3,294,48.1,RodgAa00
6,Johnny Unitas,1956,1973,23-40,220,193,2950,5412,2462,54.5,41902,297,263,18,5.5,4.9,77.8,317,3219,7.00,7.7,6.65,5.40,14.2,190.5,,124,65,4,36,40,471,1869,4.0,14,8.5,,,UnitJo00
7,Russell Wilson,2012,2024,24-36,216,216,4177,6481,2304,64.4,50191,377,123,11,5.8,1.9,99.5,613,3973,8.64,7.7,8.05,6.80,12.0,232.4,45.5,130,85,1,36,44,1110,5995,5.4,34,27.8,380,50.5,WilsRu00
8,John Elway,1983,1998,23-38,256,252,4478,7901,3423,56.7,56439,327,247,19,4.1,3.1,79.8,555,4103,6.56,7.1,6.56,5.65,12.6,220.5,44.6,162,89,1,35,46,868,3868,4.5,39,15.1,88,47.1,ElwaJo00
9,Dan Marino,1983,1999,22-38,260,258,5352,9045,3693,59.2,65871,452,276,29,5.0,3.1,85.7,292,2071,3.13,7.3,6.91,6.47,12.3,253.4,45.4,155,103,0,36,51,316,88,0.3,10,0.3,6,6.3,MariDa00
10,Warren Moon,1984,2000,28-44,218,213,4247,7226,2979,58.8,52195,308,247,16,4.3,3.4,81.1,482,3593,6.25,7.2,6.54,5.66,12.3,239.4,44.7,105,108,0,26,37,578,1850,3.2,22,8.5,23,32.1,MoonWa00
11,Fran Tarkenton,1961,1978,21-38,257,250,3835,6759,2924,56.7,48806,353,283,13,5.2,4.2,79.4,590,5362,8.03,7.2,6.38,5.14,12.7,189.9,,130,114,6,30,34,700,3744,5.3,33,14.6,,,TarkFr00
12,Norm Van Brocklin,1950,1960,24-34,138,105,1562,2918,1356,53.5,23691,171,184,9,5.9,6.3,73.8,11,882,3.49,8.1,6.45,7.18,15.2,171.7,,63,38,4,18,18,101,47,0.5,11,0.3,,,VanBNo00
13,Bob Griese,1967,1980,22-35,173,162,2038,3637,1599,56.0,26559,202,184,13,5.6,5.1,76.6,350,3082,8.78,7.3,6.14,4.82,13.0,153.5,,98,61,3,16,20,274,1078,3.9,7,6.2,,,GrieBo00
14,Joe Montana,1979,1994,23-38,215,187,3869,6125,2256,63.2,46323,318,160,9,5.2,2.6,92.7,358,2366,5.52,7.6,7.43,6.65,12.0,215.5,46.8,133,54,0,31,33,520,1990,3.8,22,9.3,2,15.0,MontJo01
