Rk,Player,player_id
1,Patrick Mahomes,MahoPa00
2,Steve Young,YounSt00
3,Tom Brady,BradTo00
4,Matthew Stafford,StafMa00
5,Kurt Warner,WarnKu00
6,Jalen Hurts,HurtJa00
7,Peyton Manning,MannPe00
8,Brett Favre,FavrBr00
9,Aaron Rodgers,RodgAa00
10,Drew Brees,BreeDr00
11,Patrick Mahomes,MahoPa00
12,Carson Wentz,WentCa00
13,Eli Manning,MannEl00
14,Tom Brady,BradTo00
15,Patrick Mahomes,MahoPa00
16,Tom Brady,BradTo00
17,Russell Wilson,WilsRu00
18,Joe Montana,MontJo01
19,Tom Brady,BradTo00
20,Joe Montana,MontJo01
21,John Elway,ElwaJo00
22,Joe Flacco,FlacJo00
23,Mark Rypien,RypiMa00
24,Tom Brady,BradTo00
25,Tom Brady,BradTo00
26,Troy Aikman,AikmTr00
27,Joe Montana,MontJo01
28,Terry Bradshaw,BradTe00
29,Brad Johnson,JohnBr00
30,Joe Montana,MontJo01
31,Terry Bradshaw,BradTe00
32,John Elway,ElwaJo00
33,Troy Aikman,AikmTr00
34,Roger Staubach,StauRo00
35,Eli Manning,MannEl00
36,Ken Stabler,StabKe00
37,Phil Simms,SimmPh00
38,Jim McMahon,McMaJi00
39,Troy Aikman,AikmTr00
40,Ben Roethlisberger,RoetBe00
41,Terry Bradshaw,BradTe00
42,Ben Roethlisberger,RoetBe00
43,Roger Staubach,StauRo00
44,Joe Namath,NamaJo00
45,Tom Brady,BradTo00
46,Jim Plunkett,PlunJi00
47,Bart Starr,StarBa00
48,Jim Plunkett,PlunJi00
49,Phil Simms,SimmPh00
50,Jay Schroeder,SchrJa00
51,Joe Theismann,TheiJo00
52,Brock Osweiler,OsweBr00
53,Johnny Unitas,UnitJo00
54,Bob Griese,GrieBo00
55,Earl Morrall,MorrEa00
56,Bubby Brister,BrisBu00
57,Peyton Manning,MannPe00
58,Trent Dilfer,DilfTr00
59,Steve Young,YounSt00
60,Tony Banks,BankTo00
61,Doug Williams,WillDo01
62,Bart Starr,StarBa00
63,Terry Bradshaw,BradTe00
64,Len Dawson,DawsLe00
65,Craig Morton,MortCr00
66,Marc Wilson,WilsMa00
67,Jeff Hostetler,HostJe00
68,Steve Fuller,FullSt00
69,Earl Morrall,MorrEa00
70,Joe Gilliam,GillJo00
71,Mike Livingston,LiviMi00
72,Steve Young,YounSt00
73,Mike Rae,RaexMi00
74,Matt Moore,MoorMa01
75,Dan Pastorini,PastDa00
76,Bob Griese,GrieBo00
77,Ed Rubbert,RubbEd20
78,Zeke Bratkowski,BratZe00
79,Jimmy Garoppolo,GaroJi00
80,Babe Parilli,PariBa00
81,Nick Foles,FoleNi00
82,Matt Cavanaugh,CavaMa00
83,Zeke Bratkowski,BratZe00
84,Tanner McKee,McKeTa01
85,Jacoby Brissett,BrisJa00
86,Bernie Kosar,KosaBe00
87,Byron Leftwich,LeftBy00
88,Matt Flynn,FlynMa00
89,Kenny Pickett,PickKe00
90,Rob Johnson,JohnRo00
91,Joe Gilliam,GillJo00
92,Drew Bledsoe,BledDr00
93,Charlie Batch,BatcCh00
94,Tyrod Taylor,TaylTy00
95,Tarvaris Jackson,JackTa00
96,Blaine Gabbert,GabbBl00
97,Tommy Maddox,MaddTo00
98,Wade Wilson,WilsWa00
99,Elvis Grbac,GrbaEl00
100,Jimmy Garoppolo,GaroJi00
101,Jim Del Gaizo,DelGJi00
102,Jeff Rutledge,RutlJe00
103,Guy Benjamin,BenjGu00
104,Don Horn,HornDo00
105,Nate Sudfeld,SudfNa00
106,Jacky Lee,LeexJa00
107,Steve Bono,BonoSt00
108,Jeff Rutledge,RutlJe00
109,Blaine Gabbert,GabbBl00
110,Jason Garrett,GarrJa00
111,Tom Flores,FlorTo00
112,Mike Kruczek,KrucMi00
113,Shaun King,KingSh00
114,Paul Justin,JustPa00
115,Steve Beuerlein,BeueSt00
116,Joe Germaine,GermJo00
117,Earl Morrall,MorrEa00
118,Bubby Brister,BrisBu00
119,Rohan Davey,DaveRo01
120,Tony Robinson,RobiTo20
121,David Humm,HummDa00
122,Jim McMahon,McMaJi00
123,Marc Wilson,WilsMa00
124,Jared Lorenzen,LoreJa00
125,Rohan Davey,DaveRo01
126,Jeff Lewis,LewiJe01
127,Mark Brunell,BrunMa00
128,Chris Redman,RedmCh00
129,Jason Garrett,GarrJa00
130,Mike Tomczak,TomcMi00
131,Anthony Wright,WrigAn00
132,Jeff Hostetler,HostJe00
133,John Wolford,WolfJo00
134,Mike Kruczek,KrucMi00
135,Terry Hanratty,HanrTe00
136,Matt Cavanaugh,CavaMa00
137,Dennis Dixon,DixoDe00
138,Brian Griese,GrieBr00
139,Terry Hanratty,HanrTe00
140,Chad Henne,HennCh01
141,Brian Hoyer,HoyeBr00
142,Damon Huard,HuarDa00
143,David Humm,HummDa00
144,Bill Musgrave,MusgBi00
145,Doug Pederson,PedeDo00
146,Trevor Siemian,SiemTr00
147,Jim Sorgi,SorgJi00
